,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,2.0,Assassin's Trophy,R,Instant,8.99,6.83,9.58,5.11,0.59,0.47,201645.0,27.8,{B}{G},"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle.",,https://scryfall.com/card/2x2/175/assassins-trophy
1,2.0,Demonic Tutor,M,Sorcery,34.99,32.04,35.38,24.43,3.45,1.37,428354.0,24.9,{1}{B},"Search your library for a card, put that card into your hand, then shuffle.",,https://scryfall.com/card/cmm/150/demonic-tutor
2,3.0,Anguished Unmaking,R,Instant,5.99,4.61,5.15,3.01,0.02,0.3,187929.0,24.5,{1}{W}{B},Exile target nonland permanent. You lose 3 life.,,https://scryfall.com/card/ltc/265/anguished-unmaking
3,2.0,Terminate,C,Instant,1.29,0.45,1.1,0.35,0.03,0.19,170075.0,22.2,{B}{R},Destroy target creature. It can’t be regenerated.,,https://scryfall.com/card/scd/249/terminate
4,1.0,Dark Ritual,C,Instant,1.49,0.93,1.47,0.44,0.04,0.55,353529.0,20.6,{B},Add{B}{B}{B}.,,https://scryfall.com/card/30a/97/dark-ritual
5,1.0,Vampiric Tutor,M,Instant,37.99,28.78,35.38,22.07,0.04,1.29,340622.0,19.8,{B},"Search your library for a card, then shuffle and put that card on top. You lose 2 life.",,https://scryfall.com/card/dmr/108/vampiric-tutor
6,2.0,Despark,U,Instant,0.49,0.2,0.73,0.18,0.02,0.25,145185.0,18.9,{W}{B},Exile target permanent with mana value 4 or greater.,,https://scryfall.com/card/moc/322/despark
7,2.0,Damn,R,Sorcery,1.49,1.26,2.2,0.97,0.1,0.39,139739.0,18.2,{B}{B},"Destroy target creature. A creature destroyed this way can’t be regenerated.Overload{2}{W}{W}(You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)",,https://scryfall.com/card/lcc/191/damn
8,2.0,Feed the Swarm,C,Sorcery,0.35,0.2,0.18,0.15,0.01,0.27,310076.0,18.0,{1}{B},Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent’s mana value.,,https://scryfall.com/card/lcc/198/feed-the-swarm
9,7.0,Ruinous Ultimatum,R,Sorcery,8.99,5.61,8.84,3.47,0.02,1.19,68341.0,18.0,{R}{R}{W}{W}{W}{B}{B},Destroy all nonland permanents your opponents control.,,https://scryfall.com/card/iko/204/ruinous-ultimatum
10,3.0,Putrefy,U,Instant,0.49,0.24,0.18,0.11,0.03,0.2,123763.0,17.1,{1}{B}{G},Destroy target artifact or creature. It can’t be regenerated.,,https://scryfall.com/card/onc/123/putrefy
11,3.0,Bedevil,R,Instant,0.99,0.7,0.73,0.55,0.13,0.21,120591.0,15.7,{B}{B}{R},"Destroy target artifact, creature, or planeswalker.",,https://scryfall.com/card/brc/121/bedevil
12,3.0,Toxic Deluge,R,Sorcery,12.99,8.97,14.0,8.53,1.16,0.93,266234.0,15.5,{2}{B},"As an additional cost to cast this spell, pay X life.All creatures get -X/-X until end of turn.",,https://scryfall.com/card/cmm/191/toxic-deluge
13,7.0,Eerie Ultimatum,R,Sorcery,8.49,5.49,8.84,3.84,0.02,0.79,54353.0,14.8,{W}{W}{B}{B}{B}{G}{G},Return any number of permanent cards with different names from your graveyard to the battlefield.,,https://scryfall.com/card/iko/184/eerie-ultimatum
14,2.0,Rakdos Charm,U,Instant,0.35,0.26,0.36,0.28,0.02,0.31,113005.0,14.7,{B}{R},Choose one —• Exile target player’s graveyard.• Destroy target artifact.• Each creature deals 1 damage to its controller.,,https://scryfall.com/card/lcc/284/rakdos-charm
15,3.0,Void Rend,R,Instant,2.99,1.61,2.94,1.82,0.03,0.37,60301.0,14.1,{W}{U}{B},This spell can’t be countered.Destroy target nonland permanent.,,https://scryfall.com/card/snc/230/void-rend
16,3.0,Phyrexian Arena,R,Enchantment,5.99,2.86,3.68,2.52,0.02,0.28,240476.0,14.0,{1}{B}{B},"At the beginning of your upkeep, you draw a card and you lose 1 life.",,https://scryfall.com/card/one/104/phyrexian-arena
17,1.0,Reanimate,R,Sorcery,19.99,14.71,16.95,13.01,0.48,0.76,237812.0,13.8,{B},Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.,,https://scryfall.com/card/ltc/206/reanimate
