,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,2.0,Counterspell,C,Instant,0.99,0.77,0.73,0.57,0.02,0.79,712235.0,43.3,{U}{U},Counter target spell.,,https://scryfall.com/card/pf24/1/counterspell
1,2.0,Cyclonic Rift,R,Instant,32.99,27.24,25.79,22.96,0.03,2.43,488815.0,29.7,{1}{U},"Return target nonland permanent you don’t control to its owner’s hand.Overload{6}{U}(You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)",,https://scryfall.com/card/cmm/84/cyclonic-rift
2,3.0,Rhystic Study,R,Enchantment,39.99,31.63,40.54,22.49,0.96,2.29,476470.0,29.0,{2}{U},"Whenever an opponent casts a spell, you may draw a card unless that player pays{1}.",,https://scryfall.com/card/wot/25/rhystic-study
3,1.0,Brainstorm,C,Instant,1.49,1.02,1.1,0.59,0.41,0.24,411027.0,25.0,{U},"Draw three cards, then put two cards from your hand on top of your library in any order.",,https://scryfall.com/card/40k/192/brainstorm
4,2.0,Negate,C,Instant,0.35,0.09,0.11,0.04,0.03,0.4,394535.0,24.0,{1}{U},Counter target noncreature spell.,,https://scryfall.com/card/mom/68/negate
5,2.0,Dovin's Veto,U,Instant,4.99,3.41,4.42,2.45,0.03,0.77,170296.0,22.8,{W}{U},This spell can’t be countered.Counter target noncreature spell.,,https://scryfall.com/card/p30a/27/dovins-veto
6,2.0,Growth Spiral,C,Instant,0.35,0.21,0.11,0.21,0.01,0.2,160267.0,21.9,{G}{U},Draw a card. You may put a land card from your hand onto the battlefield.,,https://scryfall.com/card/lcc/270/growth-spiral
7,2.0,Arcane Denial,C,Instant,3.99,2.8,2.94,1.87,0.01,0.48,314147.0,19.1,{1}{U},Counter target spell. Its controller may draw up to two cards at the beginning of the next turn’s upkeep.You draw a card at the beginning of the next turn’s upkeep.,,https://scryfall.com/card/woc/84/arcane-denial
8,1.0,Mystic Remora,R,Enchantment,5.99,4.73,4.42,4.61,1.91,1.36,300618.0,18.3,{U},"Cumulative upkeep{1}(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)Whenever an opponent casts a noncreature spell, you may draw a card unless that player pays{4}.",,https://scryfall.com/card/dmr/59/mystic-remora
9,3.0,Temur Ascendancy,R,Enchantment,4.49,4.82,5.52,1.15,0.02,0.25,62357.0,17.1,{G}{U}{R},"Creatures you control have haste.Whenever a creature with power 4 or greater enters the battlefield under your control, you may draw a card.",,https://scryfall.com/card/tsr/387/temur-ascendancy
10,1.0,Swan Song,R,Instant,14.99,10.39,14.0,8.12,0.03,0.8,280162.0,17.0,{U},"Counter target enchantment, instant, or sorcery spell. Its controller creates a 2/2 blue Bird creature token with flying.",,https://scryfall.com/card/ltc/197/swan-song
11,3.0,Fierce Guardianship,R,Instant,34.99,28.85,36.85,30.78,4.68,2.22,278819.0,17.0,{2}{U},"If you control a commander, you may cast this spell without paying its mana cost.Counter target noncreature spell.",,https://scryfall.com/card/cmm/94/fierce-guardianship
12,1.0,Mystical Tutor,R,Instant,8.49,6.71,8.84,6.19,0.94,0.9,269284.0,16.4,{U},"Search your library for an instant or sorcery card, reveal it, then shuffle and put that card on top.",,https://scryfall.com/card/dmr/60/mystical-tutor
13,1.0,An Offer You Can't Refuse,U,Instant,4.49,3.18,4.05,2.15,0.02,0.58,261718.0,15.9,{U},"Counter target noncreature spell. Its controller creates two Treasure tokens.(They’re artifacts with “{T}, Sacrifice this artifact: Add one mana of any color.”)",,https://scryfall.com/card/snc/51/an-offer-you-cant-refuse
14,2.0,Mana Drain,M,Instant,54.99,38.94,44.22,37.33,0.84,1.83,258162.0,15.7,{U}{U},"Counter target spell. At the beginning of your next main phase, add an amount of{C}equal to that spell’s mana value.",,https://scryfall.com/card/2x2/57/mana-drain
15,1.0,Ponder,C,Sorcery,2.99,1.47,2.94,1.83,0.03,0.15,246184.0,15.0,{U},"Look at the top three cards of your library, then put them back in any order. You may shuffle.Draw a card.",,https://scryfall.com/card/who/217/ponder
16,4.0,Supreme Verdict,R,Sorcery,4.49,2.66,4.05,2.73,0.14,0.87,109902.0,14.7,{1}{W}{W}{U},This spell can’t be countered.Destroy all creatures.,,https://scryfall.com/card/ltc/272/supreme-verdict
17,3.0,Windfall,U,Sorcery,1.79,2.07,2.2,1.27,0.02,0.86,237800.0,14.5,{2}{U},"Each player discards their hand, then draws cards equal to the greatest number of cards a player discarded this way.",,https://scryfall.com/card/lcc/180/windfall
18,3.0,Void Rend,R,Instant,2.99,1.61,2.94,1.82,0.03,0.37,60301.0,14.1,{W}{U}{B},This spell can’t be countered.Destroy target nonland permanent.,,https://scryfall.com/card/snc/230/void-rend
19,2.0,Baleful Strix,R,Creature,3.99,1.55,2.94,2.14,0.14,0.25,116863.0,13.6,{U}{B},"Flying, deathtouchWhen Baleful Strix enters the battlefield, draw a card.",1/1,https://scryfall.com/card/brc/120/baleful-strix
20,1.0,Preordain,C,Sorcery,2.29,1.02,2.57,1.07,0.8,0.17,212461.0,12.9,{U},"Scry 2, then draw a card.(To scry 2, look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",,https://scryfall.com/card/who/218/preordain
21,4.0,Whirlwind of Thought,R,Enchantment,1.99,0.61,1.84,0.47,0.02,0.42,45115.0,12.4,{1}{U}{R}{W},"Whenever you cast a noncreature spell, draw a card.",,https://scryfall.com/card/moc/344/whirlwind-of-thought
22,1.0,Pongify,U,Instant,5.49,4.24,6.26,2.18,0.03,0.49,202212.0,12.3,{U},Destroy target creature. It can’t be regenerated. Its controller creates a 3/3 green Ape creature token.,,https://scryfall.com/card/tsr/79/pongify
23,3.0,Frantic Search,C,Instant,0.35,0.12,0.11,0.12,0.04,0.26,195348.0,11.9,{2}{U},"Draw two cards, then discard two cards. Untap up to three lands.",,https://scryfall.com/card/woc/93/frantic-search
24,5.0,"Tatyova, Benthic Druid",U,Creature,0.39,0.14,0.26,0.13,0.02,0.82,83482.0,11.4,{3}{G}{U},"Landfall— Whenever a land enters the battlefield under your control, you gain 1 life and draw a card.",3/3,https://scryfall.com/card/lcc/290/tatyova-benthic-druid
25,3.0,Propaganda,U,Enchantment,4.99,3.76,4.42,2.53,0.72,1.1,182666.0,11.1,{2}{U},Creatures can’t attack you unless their controller pays{2}for each creature they control that’s attacking you.,,https://scryfall.com/card/who/219/propaganda
