,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,3.0,Cultivate,C,Sorcery,0.79,0.46,0.73,0.25,0.01,0.14,753771.0,48.9,{2}{G},"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",,https://scryfall.com/card/lcc/235/cultivate
1,3.0,Beast Within,U,Instant,1.29,0.89,1.1,0.63,0.02,0.39,650251.0,42.2,{2}{G},Destroy target permanent. Its controller creates a 3/3 green Beast creature token.,,https://scryfall.com/card/lcc/233/beast-within
2,2.0,Rampant Growth,C,Sorcery,0.79,0.31,0.26,0.06,0.01,0.15,554403.0,36.0,{1}{G},"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",,https://scryfall.com/card/lcc/248/rampant-growth
3,3.0,Kodama's Reach,C,Sorcery,0.99,0.69,0.73,0.51,0.01,0.11,523187.0,33.9,{2}{G},"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",,https://scryfall.com/card/lcc/245/kodamas-reach
4,2.0,Farseek,C,Sorcery,1.79,1.18,1.47,0.77,0.01,0.11,507122.0,32.9,{1}{G},"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.",,https://scryfall.com/card/lcc/242/farseek
5,2.0,Nature's Lore,C,Sorcery,2.49,1.7,2.57,1.09,0.04,0.13,459585.0,29.8,{1}{G},"Search your library for a Forest card, put that card onto the battlefield, then shuffle.",,https://scryfall.com/card/cmm/904/natures-lore
6,2.0,Heroic Intervention,R,Instant,10.99,7.83,8.1,6.31,0.12,0.92,440987.0,28.6,{1}{G},Permanents you control gain hexproof and indestructible until end of turn.,,https://scryfall.com/card/who/233/heroic-intervention
7,2.0,Assassin's Trophy,R,Instant,8.99,6.83,9.58,5.11,0.59,0.47,201645.0,27.8,{B}{G},"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle.",,https://scryfall.com/card/2x2/175/assassins-trophy
8,1.0,Birds of Paradise,R,Creature,5.99,5.0,4.42,3.0,0.02,0.25,389385.0,25.3,{G},Flying{T}: Add one mana of any color.,0/1,https://scryfall.com/card/rvr/133/birds-of-paradise
9,1.0,Ignoble Hierarch,R,Creature,2.49,2.54,2.94,3.33,0.87,0.17,85995.0,25.0,{G},"Exalted(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.){T}: Add{B},{R}, or{G}.",0/1,https://scryfall.com/card/mh2/166/ignoble-hierarch
