,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,9.0,Blasphemous Act,R,Sorcery,2.99,1.83,1.1,1.51,0.02,0.63,531845.0,33.3,{8}{R},This spell costs{1}less to cast for each creature on the battlefield.Blasphemous Act deals 13 damage to each creature.,,https://scryfall.com/card/lcc/216/blasphemous-act
1,3.0,Chaos Warp,R,Instant,0.79,0.92,0.73,0.67,0.1,0.43,528865.0,33.1,{2}{R},"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it’s a permanent card, they put it onto the battlefield.",,https://scryfall.com/card/lcc/221/chaos-warp
2,2.0,Boros Charm,U,Instant,4.49,2.31,2.94,2.27,0.19,0.32,197004.0,27.2,{R}{W},Choose one —• Boros Charm deals 4 damage to target player or planeswalker.• Permanents you control gain indestructible until end of turn.• Target creature gains double strike until end of turn.,,https://scryfall.com/card/onc/116/boros-charm
3,3.0,Rhythm of the Wild,U,Enchantment,2.99,4.65,3.68,3.34,0.02,0.46,164023.0,22.9,{1}{R}{G},Creature spells you control can’t be countered.Nontoken creatures you control have riot.(They enter the battlefield with your choice of a +1/+1 counter or haste.),,https://scryfall.com/card/lcc/287/rhythm-of-the-wild
4,2.0,Terminate,C,Instant,1.29,0.45,1.1,0.35,0.03,0.19,170075.0,22.2,{B}{R},Destroy target creature. It can’t be regenerated.,,https://scryfall.com/card/scd/249/terminate
5,3.0,Jeska's Will,R,Sorcery,29.99,19.87,25.79,17.2,5.21,1.23,288933.0,18.1,{2}{R},"Choose one. If you control a commander as you cast this spell, you may choose both.• Add{R}for each card in target opponent’s hand.• Exile the top three cards of your library. You may play them this turn.",,https://scryfall.com/card/clb/799/jeskas-will
6,7.0,Ruinous Ultimatum,R,Sorcery,8.99,5.61,8.84,3.47,0.02,1.19,68341.0,18.0,{R}{R}{W}{W}{W}{B}{B},Destroy all nonland permanents your opponents control.,,https://scryfall.com/card/iko/204/ruinous-ultimatum
7,1.0,Faithless Looting,C,Sorcery,0.35,0.15,0.11,0.25,0.01,0.15,283858.0,17.8,{R},"Draw two cards, then discard two cards.Flashback{2}{R}(You may cast this card from your graveyard for its flashback cost. Then exile it.)",,https://scryfall.com/card/lcc/225/faithless-looting
8,1.0,Vandalblast,U,Sorcery,2.49,1.81,2.94,1.7,0.02,0.88,279076.0,17.5,{R},"Destroy target artifact you don’t control.Overload{4}{R}(You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)",,https://scryfall.com/card/cmm/267/vandalblast
9,2.0,Dockside Extortionist,M,Creature,79.99,58.29,81.08,52.02,5.76,2.5,278306.0,17.4,{1}{R},"When Dockside Extortionist enters the battlefield, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control.(Treasure tokens are artifacts with “{T}, Sacrifice this artifact: Add one mana of any color.”)",1/2,https://scryfall.com/card/2x2/107/dockside-extortionist
10,3.0,Temur Ascendancy,R,Enchantment,4.49,4.82,5.52,1.15,0.02,0.25,62357.0,17.1,{G}{U}{R},"Creatures you control have haste.Whenever a creature with power 4 or greater enters the battlefield under your control, you may draw a card.",,https://scryfall.com/card/tsr/387/temur-ascendancy
11,3.0,Bedevil,R,Instant,0.99,0.7,0.73,0.55,0.13,0.21,120591.0,15.7,{B}{B}{R},"Destroy target artifact, creature, or planeswalker.",,https://scryfall.com/card/brc/121/bedevil
12,3.0,Deflecting Swat,R,Instant,34.99,25.86,33.17,23.0,4.04,1.68,239316.0,15.0,{2}{R},"If you control a commander, you may cast this spell without paying its mana cost.You may choose new targets for target spell or ability.",,https://scryfall.com/card/cmm/214/deflecting-swat
13,2.0,Rakdos Charm,U,Instant,0.35,0.26,0.36,0.28,0.02,0.31,113005.0,14.7,{B}{R},Choose one —• Exile target player’s graveyard.• Destroy target artifact.• Each creature deals 1 damage to its controller.,,https://scryfall.com/card/lcc/284/rakdos-charm
14,2.0,Goblin Anarchomancer,C,Creature,0.49,0.26,0.36,0.14,0.03,0.14,96023.0,13.4,{R}{G},Each spell you cast that’s red or green costs{1}less to cast.,2/2,https://scryfall.com/card/j21/693/goblin-anarchomancer
