,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,1.0,Swords to Plowshares,U,Instant,1.99,0.85,1.1,0.79,0.02,0.53,938699.0,61.8,{W},Exile target creature. Its controller gains life equal to its power.,,https://scryfall.com/card/lcc/137/swords-to-plowshares
1,1.0,Path to Exile,U,Instant,1.99,0.93,1.1,0.69,0.02,0.46,605104.0,39.8,{W},"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.",,https://scryfall.com/card/lcc/134/path-to-exile
2,2.0,Boros Charm,U,Instant,4.49,2.31,2.94,2.27,0.19,0.32,197004.0,27.2,{R}{W},Choose one —• Boros Charm deals 4 damage to target player or planeswalker.• Permanents you control gain indestructible until end of turn.• Target creature gains double strike until end of turn.,,https://scryfall.com/card/onc/116/boros-charm
3,4.0,Smothering Tithe,M,Enchantment,19.99,16.75,19.16,13.79,0.06,2.22,398644.0,26.2,{3}{W},"Whenever an opponent draws a card, that player may pay{2}. If the player doesn’t, you create a Treasure token.(It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)",,https://scryfall.com/card/wot/13/smothering-tithe
4,3.0,Generous Gift,U,Instant,0.69,0.3,0.26,0.34,0.02,0.37,394099.0,25.9,{2}{W},Destroy target permanent. Its controller creates a 3/3 green Elephant creature token.,,https://scryfall.com/card/lcc/128/generous-gift
5,3.0,Anguished Unmaking,R,Instant,5.99,4.61,5.15,3.01,0.02,0.3,187929.0,24.5,{1}{W}{B},Exile target nonland permanent. You lose 3 life.,,https://scryfall.com/card/ltc/265/anguished-unmaking
6,2.0,Dovin's Veto,U,Instant,4.99,3.41,4.42,2.45,0.03,0.77,170296.0,22.8,{W}{U},This spell can’t be countered.Counter target noncreature spell.,,https://scryfall.com/card/p30a/27/dovins-veto
7,1.0,Esper Sentinel,R,Creature,32.99,24.6,33.17,18.65,6.73,1.59,329602.0,21.7,{W},"Whenever an opponent casts their first noncreature spell each turn, draw a card unless that player pays{X}, where X is Esper Sentinel’s power.",1/1,https://scryfall.com/card/j21/75/esper-sentinel
8,3.0,Teferi's Protection,R,Instant,39.99,30.93,25.79,23.38,1.99,1.7,316894.0,20.9,{2}{W},"Until your next turn, your life total can’t change and you gain protection from everything. All permanents you control phase out.(While they’re phased out, they’re treated as though they don’t exist. They phase in before you untap during your untap step.)Exile Teferi’s Protection.",,https://scryfall.com/card/2x2/32/teferis-protection
9,2.0,Despark,U,Instant,0.49,0.2,0.73,0.18,0.02,0.25,145185.0,18.9,{W}{B},Exile target permanent with mana value 4 or greater.,,https://scryfall.com/card/moc/322/despark
10,1.0,Enlightened Tutor,R,Instant,17.99,15.33,21.37,8.4,1.99,0.82,280207.0,18.4,{W},"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.",,https://scryfall.com/card/dmr/6/enlightened-tutor
11,7.0,Ruinous Ultimatum,R,Sorcery,8.99,5.61,8.84,3.47,0.02,1.19,68341.0,18.0,{R}{R}{W}{W}{W}{B}{B},Destroy all nonland permanents your opponents control.,,https://scryfall.com/card/iko/204/ruinous-ultimatum
12,5.0,Mirari's Wake,M,Enchantment,3.99,4.03,4.42,2.26,0.02,0.64,121615.0,17.1,{3}{G}{W},"Creatures you control get +1/+1.Whenever you tap a land for mana, add one mana of any type that land produced.",,https://scryfall.com/card/cmm/928/miraris-wake
13,7.0,Eerie Ultimatum,R,Sorcery,8.49,5.49,8.84,3.84,0.02,0.79,54353.0,14.8,{W}{W}{B}{B}{B}{G}{G},Return any number of permanent cards with different names from your graveyard to the battlefield.,,https://scryfall.com/card/iko/184/eerie-ultimatum
14,4.0,Supreme Verdict,R,Sorcery,4.49,2.66,4.05,2.73,0.14,0.87,109902.0,14.7,{1}{W}{W}{U},This spell can’t be countered.Destroy all creatures.,,https://scryfall.com/card/ltc/272/supreme-verdict
15,2.0,Eladamri's Call,R,Instant,9.49,7.21,8.84,7.33,0.21,0.53,100361.0,14.1,{G}{W},"Search your library for a creature card, reveal that card, put it into your hand, then shuffle.",,https://scryfall.com/card/mh1/197/eladamris-call
16,3.0,Void Rend,R,Instant,2.99,1.61,2.94,1.82,0.03,0.37,60301.0,14.1,{W}{U}{B},This spell can’t be countered.Destroy target nonland permanent.,,https://scryfall.com/card/snc/230/void-rend
17,6.0,Sun Titan,M,Creature,0.99,0.47,0.73,0.39,0.02,0.36,204800.0,13.5,{4}{W}{W},"VigilanceWhenever Sun Titan enters the battlefield or attacks, you may return target permanent card with mana value 3 or less from your graveyard to the battlefield.",6/6,https://scryfall.com/card/woc/77/sun-titan
18,3.0,Mortify,U,Instant,0.39,0.14,0.26,0.11,0.02,0.18,103284.0,13.5,{1}{W}{B},Destroy target creature or enchantment.,,https://scryfall.com/card/ltc/269/mortify
19,3.0,Faeburrow Elder,R,Creature,3.99,3.0,2.94,1.26,0.02,0.27,92271.0,13.0,{1}{G}{W},"VigilanceFaeburrow Elder gets +1/+1 for each color among permanents you control.{T}: For each color among permanents you control, add one mana of that color.",0/0,https://scryfall.com/card/dmc/149/faeburrow-elder
20,3.0,Ghostly Prison,U,Enchantment,5.49,2.68,5.52,1.86,0.02,1.07,193913.0,12.8,{2}{W},Creatures can’t attack you unless their controller pays{2}for each creature they control that’s attacking you.,,https://scryfall.com/card/onc/71/ghostly-prison
21,6.0,Austere Command,R,Sorcery,0.49,0.57,0.73,0.42,0.02,0.68,192492.0,12.7,{4}{W}{W},Choose two —• Destroy all artifacts.• Destroy all enchantments.• Destroy all creatures with mana value 3 or less.• Destroy all creatures with mana value 4 or greater.,,https://scryfall.com/card/lcc/126/austere-command
22,4.0,Whirlwind of Thought,R,Enchantment,1.99,0.61,1.84,0.47,0.02,0.42,45115.0,12.4,{1}{U}{R}{W},"Whenever you cast a noncreature spell, draw a card.",,https://scryfall.com/card/moc/344/whirlwind-of-thought
23,6.0,Farewell,R,Sorcery,8.99,7.33,7.0,6.63,2.62,1.61,184758.0,12.2,{4}{W}{W},Choose one or more —• Exile all artifacts.• Exile all creatures.• Exile all enchantments.• Exile all graveyards.,,https://scryfall.com/card/who/207/farewell
24,3.0,Aura Shards,U,Enchantment,8.99,14.78,8.84,6.5,1.08,1.51,77944.0,11.0,{1}{G}{W},"Whenever a creature enters the battlefield under your control, you may destroy target artifact or enchantment.",,https://scryfall.com/card/plist/437/aura-shards
25,2.0,Sterling Grove,R,Enchantment,2.99,3.02,3.68,1.43,0.02,0.9,72964.0,10.3,{G}{W},"Other enchantments you control have shroud.(They can’t be the targets of spells or abilities.){1}, Sacrifice Sterling Grove: Search your library for an enchantment card, reveal it, then shuffle and put that card on top.",,https://scryfall.com/card/j21/720/sterling-grove
26,4.0,Utter End,R,Instant,0.49,0.12,0.26,0.15,0.02,0.23,72104.0,9.4,{2}{W}{B},Exile target nonland permanent.,,https://scryfall.com/card/lcc/292/utter-end
27,4.0,Anointed Procession,R,Enchantment,57.99,44.61,51.6,26.48,0.02,0.93,142321.0,9.4,{3}{W},"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.",,https://scryfall.com/card/plist/654/anointed-procession
28,3.0,Crackling Doom,U,Instant,0.39,0.27,0.26,0.15,0.02,0.32,35585.0,9.4,{R}{W}{B},Crackling Doom deals 2 damage to each opponent. Each opponent sacrifices a creature with the greatest power among creatures that player controls.,,https://scryfall.com/card/2x2/196/crackling-doom
29,2.0,Fracture,U,Instant,1.49,1.23,2.2,0.34,0.03,0.23,70667.0,9.2,{W}{B},"Destroy target artifact, enchantment, or planeswalker.",,https://scryfall.com/card/stx/188/fracture
30,4.0,Akroma's Will,R,Instant,9.99,11.74,11.05,9.5,0.1,1.03,139288.0,9.2,{3}{W},"Choose one. If you control a commander as you cast this spell, you may choose both.• Creatures you control gain flying, vigilance, and double strike until end of turn.• Creatures you control gain lifelink, indestructible, and protection from all colors until end of turn.",,https://scryfall.com/card/lcc/125/akromas-will
31,5.0,Maelstrom Nexus,M,Enchantment,0.99,0.67,1.1,0.5,0.02,0.56,20645.0,9.1,{W}{U}{B}{R}{G},"The first spell you cast each turn has cascade.(When you cast your first spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)",,https://scryfall.com/card/dmc/159/maelstrom-nexus
32,3.0,"Sisay, Weatherlight Captain",R,Creature,1.29,1.11,1.1,0.88,0.02,0.88,20009.0,8.8,{2}{W},"Sisay, Weatherlight Captain gets +1/+1 for each color among other legendary permanents you control.{W}{U}{B}{R}{G}: Search your library for a legendary permanent card with mana value less than Sisay’s power, put that card onto the battlefield, then shuffle.",2/2,https://scryfall.com/card/h1r/6/sisay-weatherlight-captain
33,4.0,"Shalai, Voice of Plenty",R,Creature,2.29,1.27,2.2,1.3,0.02,0.58,61652.0,8.7,{3}{W},"FlyingYou, planeswalkers you control, and other creatures you control have hexproof.{4}{G}{G}: Put a +1/+1 counter on each creature you control.",3/4,https://scryfall.com/card/woc/74/shalai-voice-of-plenty
34,2.0,Cruel Celebrant,U,Creature,0.79,0.41,0.55,0.28,0.02,0.31,65602.0,8.6,{W}{B},"Whenever Cruel Celebrant or another creature or planeswalker you control dies, each opponent loses 1 life and you gain 1 life.",1/2,https://scryfall.com/card/lcc/267/cruel-celebrant
35,3.0,Naya Charm,U,Instant,0.49,0.25,0.55,0.12,0.03,0.16,33022.0,8.5,{R}{G}{W},Choose one —• Naya Charm deals 3 damage to target creature.• Return target card from a graveyard to its owner’s hand.• Tap all creatures target player controls.,,https://scryfall.com/card/dmc/162/naya-charm
36,3.0,Vindicate,R,Sorcery,0.79,0.41,0.55,0.63,0.02,0.25,64959.0,8.5,{1}{W}{B},Destroy target permanent.,,https://scryfall.com/card/brc/131/vindicate
37,3.0,Flawless Maneuver,R,Instant,9.49,5.49,8.84,6.8,1.47,0.92,126481.0,8.3,{2}{W},"If you control a commander, you may cast this spell without paying its mana cost.Creatures you control gain indestructible until end of turn.",,https://scryfall.com/card/cmm/24/flawless-maneuver
38,2.0,"Elas il-Kor, Sadistic Pilgrim",U,Creature,0.59,0.73,0.73,0.18,0.02,0.34,63223.0,8.2,{W}{B},"DeathtouchWhenever another creature enters the battlefield under your control, you gain 1 life.Whenever another creature you control dies, each opponent loses 1 life.",2/2,https://scryfall.com/card/dmu/198/elas-il-kor-sadistic-pilgrim
