,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,2.0,Demonic Tutor,M,Sorcery,34.99,32.04,35.38,24.43,3.45,1.37,428354.0,24.9,{1}{B},"Search your library for a card, put that card into your hand, then shuffle.",,https://scryfall.com/card/cmm/150/demonic-tutor
1,1.0,Dark Ritual,C,Instant,1.49,0.93,1.47,0.44,0.04,0.55,353529.0,20.6,{B},Add{B}{B}{B}.,,https://scryfall.com/card/30a/97/dark-ritual
2,1.0,Vampiric Tutor,M,Instant,37.99,28.78,35.38,22.07,0.04,1.29,340622.0,19.8,{B},"Search your library for a card, then shuffle and put that card on top. You lose 2 life.",,https://scryfall.com/card/dmr/108/vampiric-tutor
3,2.0,Damn,R,Sorcery,1.49,1.26,2.2,0.97,0.1,0.39,139739.0,18.2,{B}{B},"Destroy target creature. A creature destroyed this way can’t be regenerated.Overload{2}{W}{W}(You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)",,https://scryfall.com/card/lcc/191/damn
4,2.0,Feed the Swarm,C,Sorcery,0.35,0.2,0.18,0.15,0.01,0.27,310076.0,18.0,{1}{B},Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent’s mana value.,,https://scryfall.com/card/lcc/198/feed-the-swarm
5,3.0,Toxic Deluge,R,Sorcery,12.99,8.97,14.0,8.53,1.16,0.93,266234.0,15.5,{2}{B},"As an additional cost to cast this spell, pay X life.All creatures get -X/-X until end of turn.",,https://scryfall.com/card/cmm/191/toxic-deluge
6,3.0,Phyrexian Arena,R,Enchantment,5.99,2.86,3.68,2.52,0.02,0.28,240476.0,14.0,{1}{B}{B},"At the beginning of your upkeep, you draw a card and you lose 1 life.",,https://scryfall.com/card/one/104/phyrexian-arena
7,1.0,Reanimate,R,Sorcery,19.99,14.71,16.95,13.01,0.48,0.76,237812.0,13.8,{B},Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.,,https://scryfall.com/card/ltc/206/reanimate
8,2.0,Blood Artist,U,Creature,1.49,1.49,1.47,1.19,0.02,0.63,208931.0,12.2,{1}{B},"Whenever Blood Artist or another creature dies, target player loses 1 life and you gain 1 life.",0/1,https://scryfall.com/card/lcc/182/blood-artist
9,3.0,Victimize,U,Sorcery,0.99,0.41,0.73,0.32,0.02,0.29,197681.0,11.5,{2}{B},"Choose two target creature cards in your graveyard. Sacrifice a creature. If you do, return the chosen cards to the battlefield tapped.",,https://scryfall.com/card/cmm/195/victimize
10,2.0,Zulaport Cutthroat,U,Creature,1.49,0.91,1.47,0.65,0.03,0.51,195555.0,11.4,{1}{B},"Whenever Zulaport Cutthroat or another creature you control dies, each opponent loses 1 life and you gain 1 life.",1/1,https://scryfall.com/card/ea2/11/zulaport-cutthroat
11,1.0,Viscera Seer,C,Creature,0.35,0.2,0.18,0.16,0.01,0.35,190974.0,11.1,{B},Sacrifice a creature: Scry 1.(Look at the top card of your library. You may put that card on the bottom of your library.),1/1,https://scryfall.com/card/lcc/213/viscera-seer
12,6.0,Bolas's Citadel,R,Artifact,6.99,7.98,6.63,2.29,0.02,1.45,189354.0,11.0,{3}{B}{B}{B},"You may look at the top card of your library any time.You may play lands and cast spells from the top of your library. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost.{T}, Sacrifice ten nonland permanents: Each opponent loses 10 life.",,https://scryfall.com/card/plg21/3/bolass-citadel
13,2.0,Sign in Blood,C,Sorcery,0.69,0.26,0.55,0.19,0.03,0.1,179675.0,10.5,{B}{B},Target player draws two cards and loses 2 life.,,https://scryfall.com/card/scd/107/sign-in-blood
14,1.0,Village Rites,C,Instant,0.35,0.22,0.36,0.1,0.01,0.08,177208.0,10.3,{B},"As an additional cost to cast this spell, sacrifice a creature.Draw two cards.",,https://scryfall.com/card/lcc/212/village-rites
15,2.0,Dauthi Voidwalker,R,Creature,12.99,9.47,15.47,9.89,2.32,1.49,175494.0,10.2,{B}{B},"Shadow(This creature can block or be blocked by only creatures with shadow.)If a card would be put into an opponent’s graveyard from anywhere, instead exile it with a void counter on it.{T}, Sacrifice Dauthi Voidwalker: Choose an exiled card an opponent owns with a void counter on it. You may play it this turn without paying its mana cost.",3/2,https://scryfall.com/card/mh2/81/dauthi-voidwalker
16,5.0,Gray Merchant of Asphodel,U,Creature,0.79,0.43,0.73,0.5,0.03,0.84,171633.0,10.0,{3}{B}{B},"When Gray Merchant of Asphodel enters the battlefield, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way.(Each{B}in the mana costs of permanents you control counts toward your devotion to black.)",2/4,https://scryfall.com/card/scd/80/gray-merchant-of-asphodel
17,2.0,Animate Dead,U,Enchantment,6.99,4.63,5.15,4.14,0.04,0.57,171272.0,10.0,{1}{B},"Enchant creature card in a graveyardWhen Animate Dead enters the battlefield, if it’s on the battlefield, it loses “enchant creature card in a graveyard” and gains “enchant creature put onto the battlefield with Animate Dead.” Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature’s controller sacrifices it.Enchanted creature gets -1/-0.",,https://scryfall.com/card/30a/92/animate-dead
18,2.0,Deadly Dispute,C,Instant,2.99,1.35,2.94,3.11,0.36,0.17,166623.0,9.7,{1}{B},"As an additional cost to cast this spell, sacrifice an artifact or creature.Draw two cards and create a Treasure token.(It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)",,https://scryfall.com/card/p30a/29/deadly-dispute
19,4.0,Damnation,R,Sorcery,19.99,16.01,19.9,14.39,0.3,0.61,164147.0,9.5,{2}{B}{B},Destroy all creatures. They can’t be regenerated.,,https://scryfall.com/card/2x2/73/damnation
20,3.0,Read the Bones,C,Sorcery,0.39,0.18,0.18,0.11,0.01,0.08,160250.0,9.3,{2}{B},"Scry 2, then draw two cards. You lose 2 life.",,https://scryfall.com/card/cmm/182/read-the-bones
21,4.0,Deadly Rollick,R,Instant,18.99,15.77,19.16,15.76,3.52,1.44,159607.0,9.3,{3}{B},"If you control a commander, you may cast this spell without paying its mana cost.Exile target creature.",,https://scryfall.com/card/cmm/147/deadly-rollick
22,2.0,Night's Whisper,C,Sorcery,2.29,1.13,2.2,1.07,0.01,0.1,159227.0,9.3,{1}{B},You draw two cards and you lose 2 life.,,https://scryfall.com/card/ltc/205/nights-whisper
23,1.0,Malakir Rebirth,U,Instant,3.99,4.06,,,0.03,0.19,158115.0,9.2,{B},"Choose target creature. You lose 2 life. Until end of turn, that creature gains “When this creature dies, return it to the battlefield tapped under its owner’s control.”",,https://scryfall.com/card/znr/111/malakir-rebirth-malakir-mire
24,5.0,"Syr Konrad, the Grim",U,Creature,2.79,1.47,1.47,0.38,0.02,0.93,149804.0,8.7,{3}{B}{B},"Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad, the Grim deals 1 damage to each opponent.{1}{B}: Each player mills a card.",5/4,https://scryfall.com/card/moc/269/syr-konrad-the-grim
25,2.0,Diabolic Intent,R,Sorcery,8.49,6.27,8.1,6.18,0.28,0.66,148373.0,8.6,{1}{B},"As an additional cost to cast this spell, sacrifice a creature.Search your library for a card, put that card into your hand, then shuffle.",,https://scryfall.com/card/ltc/526/diabolic-intent
26,2.0,Infernal Grasp,U,Instant,2.99,2.32,3.68,1.08,0.03,0.2,146401.0,8.5,{1}{B},Destroy target creature. You lose 2 life.,,https://scryfall.com/card/psvc/2/ja/infernal-grasp
27,3.0,Opposition Agent,R,Creature,22.99,20.32,22.11,23.84,17.79,2.22,145489.0,8.5,{2}{B},"FlashYou control your opponents while they’re searching their libraries.While an opponent is searching their library, they exile each card they find. You may play those cards for as long as they remain exiled, and you may spend mana as though it were mana of any color to cast them.",3/2,https://scryfall.com/card/cmr/141/opposition-agent
28,3.0,Black Market Connections,R,Enchantment,21.99,16.69,22.11,12.58,0.1,0.87,131697.0,7.7,{2}{B},"At the beginning of your precombat main phase, choose one or more —•Sell Contraband— Create a Treasure token. You lose 1 life.•Buy Information— Draw a card. You lose 2 life.•Hire a Mercenary— Create a 3/2 colorless Shapeshifter creature token with changeling. You lose 3 life.(It has every creature type.)",,https://scryfall.com/card/lcc/181/black-market-connections
29,4.0,Diabolic Tutor,U,Sorcery,0.79,0.74,0.73,0.19,0.03,0.44,129439.0,7.5,{2}{B}{B},"Search your library for a card, put that card into your hand, then shuffle.",,https://scryfall.com/card/sld/721/diabolic-tutor
30,1.0,Entomb,R,Instant,7.99,6.53,7.36,4.0,2.24,0.79,124299.0,7.2,{B},"Search your library for a card, put that card into your graveyard, then shuffle.",,https://scryfall.com/card/dmr/82/entomb
31,4.0,Pitiless Plunderer,U,Creature,6.49,6.28,4.42,4.02,0.02,0.86,121077.0,7.0,{3}{B},"Whenever another creature you control dies, create a Treasure token.(It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)",1/4,https://scryfall.com/card/spg/5/pitiless-plunderer
32,3.0,Bastion of Remembrance,U,Enchantment,1.49,1.21,1.47,1.02,0.03,0.35,111434.0,6.5,{2}{B},"When Bastion of Remembrance enters the battlefield, create a 1/1 white Human Soldier creature token.Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.",,https://scryfall.com/card/cmm/138/bastion-of-remembrance
33,2.0,Go for the Throat,U,Instant,1.49,0.55,1.1,0.37,0.02,0.16,110274.0,6.4,{1}{B},Destroy target nonartifact creature.,,https://scryfall.com/card/ltc/201/go-for-the-throat
34,3.0,Plaguecrafter,U,Creature,0.69,0.26,0.73,0.23,0.03,0.59,106875.0,6.2,{2}{B},"When Plaguecrafter enters the battlefield, each player sacrifices a creature or planeswalker. Each player who can’t discards a card.",3/2,https://scryfall.com/card/j22/72/plaguecrafter
35,1.0,Carrion Feeder,U,Creature,1.29,1.22,1.1,0.64,0.04,0.27,102933.0,6.0,{B},Carrion Feeder can’t block.Sacrifice a creature: Put a +1/+1 counter on Carrion Feeder.,1/1,https://scryfall.com/card/sld/1114/carrion-feeder
36,2.0,Torment of Hailfire,R,Sorcery,19.99,17.47,22.11,12.8,0.02,1.6,102906.0,6.0,{X}{B}{B},Repeat the following process X times. Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.,,https://scryfall.com/card/akr/128/torment-of-hailfire
37,3.0,Grim Tutor,M,Sorcery,19.99,16.8,19.16,11.67,1.17,0.84,100358.0,5.8,{1}{B}{B},"Search your library for a card, put that card into your hand, then shuffle. You lose 3 life.",,https://scryfall.com/card/m21/103/grim-tutor
38,3.0,"Vito, Thorn of the Dusk Rose",R,Creature,9.99,5.53,8.1,8.32,0.62,0.87,100180.0,5.8,{2}{B},"Whenever you gain life, target opponent loses that much life.{3}{B}{B}: Creatures you control gain lifelink until end of turn.",1/3,https://scryfall.com/card/j22/487/vito-thorn-of-the-dusk-rose
39,3.0,Buried Alive,U,Sorcery,7.99,6.55,7.0,1.13,0.12,0.59,98382.0,5.7,{2}{B},"Search your library for up to three creature cards, put them into your graveyard, then shuffle.",,https://scryfall.com/card/uma/88/buried-alive
40,5.0,Sanguine Bond,R,Enchantment,1.49,1.1,1.47,0.65,0.02,1.09,98108.0,5.7,{3}{B}{B},"Whenever you gain life, target opponent loses that much life.",,https://scryfall.com/card/wot/35/sanguine-bond
41,5.0,Living Death,R,Sorcery,4.99,2.5,4.05,2.97,0.14,0.88,98005.0,5.7,{3}{B}{B},"Each player exiles all creature cards from their graveyard, then sacrifices all creatures they control, then puts all cards they exiled this way onto the battlefield.",,https://scryfall.com/card/ltc/203/living-death
42,3.0,"Braids, Arisen Nightmare",R,Creature,3.99,3.14,4.42,2.82,0.05,0.9,97115.0,5.6,{1}{B}{B},"At the beginning of your end step, you may sacrifice an artifact, creature, enchantment, land, or planeswalker. If you do, each opponent may sacrifice a permanent that shares a card type with it. For each opponent who doesn’t, that player loses 2 life and you draw a card.",3/3,https://scryfall.com/card/dmu/84/braids-arisen-nightmare
43,2.0,Wishclaw Talisman,R,Artifact,4.49,3.72,5.15,1.83,0.03,0.55,95900.0,5.6,{1}{B},"Wishclaw Talisman enters the battlefield with three wish counters on it.{1},{T}, Remove a wish counter from Wishclaw Talisman: Search your library for a card, put it into your hand, then shuffle. An opponent gains control of Wishclaw Talisman. Activate only during your turn.",,https://scryfall.com/card/eld/110/wishclaw-talisman
44,1.0,Imperial Seal,M,Sorcery,79.99,70.14,81.08,57.57,1.76,1.04,94224.0,5.5,{B},"Search your library for a card, then shuffle and put that card on top. You lose 2 life.",,https://scryfall.com/card/2x2/79/imperial-seal
45,3.0,Necropotence,M,Enchantment,12.99,11.83,15.47,10.63,0.24,1.54,93592.0,5.4,{B}{B}{B},"Skip your draw step.Whenever you discard a card, exile that card from your graveyard.Pay 1 life: Exile the top card of your library face down. Put that card into your hand at the beginning of your next end step.",,https://scryfall.com/card/wot/31/necropotence
46,7.0,"Sheoldred, Whispering One",M,Creature,8.49,5.92,8.84,8.06,0.04,1.41,92405.0,5.4,{5}{B}{B},"Swampwalk(This creature can’t be blocked as long as defending player controls a Swamp.)At the beginning of your upkeep, return target creature card from your graveyard to the battlefield.At the beginning of each opponent’s upkeep, that player sacrifices a creature.",6/6,https://scryfall.com/card/mul/16/sheoldred-whispering-one
47,2.0,Exsanguinate,U,Sorcery,2.49,1.71,2.57,1.76,0.03,0.83,91345.0,5.3,{X}{B}{B},Each opponent loses X life. You gain life equal to the life lost this way.,,https://scryfall.com/card/cmm/156/exsanguinate
48,3.0,Grim Haruspex,R,Creature,0.79,0.52,0.73,0.71,0.02,0.22,90323.0,5.3,{2}{B},"Morph{B}(You may cast this card face down as a 2/2 creature for{3}. Turn it face up any time for its morph cost.)Whenever another nontoken creature you control dies, draw a card.",3/2,https://scryfall.com/card/clb/754/grim-haruspex
49,2.0,The Meathook Massacre,M,Enchantment,29.99,29.32,36.85,25.28,2.57,1.3,89411.0,5.2,{X}{B}{B},"When The Meathook Massacre enters the battlefield, each creature gets -X/-X until end of turn.Whenever a creature you control dies, each opponent loses 1 life.Whenever a creature an opponent controls dies, you gain 1 life.",,https://scryfall.com/card/dbl/112/the-meathook-massacre
50,4.0,Ravenous Chupacabra,U,Creature,0.79,0.32,0.73,0.27,0.03,0.37,84814.0,4.9,{2}{B}{B},"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls.",2/2,https://scryfall.com/card/pw23/10/ravenous-chupacabra
51,5.0,Dictate of Erebos,R,Enchantment,16.99,11.12,16.95,12.15,0.02,1.6,84563.0,4.9,{3}{B}{B},"FlashWhenever a creature you control dies, each opponent sacrifices a creature.",,https://scryfall.com/card/mb1/625/dictate-of-erebos
52,4.0,Dread Return,C,Sorcery,0.35,0.15,0.11,0.12,0.03,0.28,84399.0,4.9,{2}{B}{B},Return target creature card from your graveyard to the battlefield.Flashback—Sacrifice three creatures.(You may cast this card from your graveyard for its flashback cost. Then exile it.),,https://scryfall.com/card/cmm/153/dread-return
53,3.0,Fleshbag Marauder,U,Creature,0.35,0.11,0.11,0.07,0.03,0.47,84127.0,4.9,{2}{B},"When Fleshbag Marauder enters the battlefield, each player sacrifices a creature.",3/1,https://scryfall.com/card/scd/78/fleshbag-marauder
54,5.0,Black Market,R,Enchantment,3.49,2.48,4.42,2.5,5.42,0.49,84002.0,4.9,{3}{B}{B},"Whenever a creature dies, put a charge counter on Black Market.At the beginning of your precombat main phase, add{B}for each charge counter on Black Market.",,https://scryfall.com/card/clb/739/black-market
55,4.0,Crypt Ghast,R,Creature,13.99,10.17,14.0,8.93,0.02,0.68,83624.0,4.9,{3}{B},"Extort(Whenever you cast a spell, you may pay{W/B}. If you do, each opponent loses 1 life and you gain that much life.)Whenever you tap a Swamp for mana, add an additional{B}.",2/2,https://scryfall.com/card/c14/139/crypt-ghast
56,2.0,Cabal Ritual,C,Instant,10.99,10.44,13.26,4.88,0.04,0.42,82281.0,4.8,{1}{B},Add{B}{B}{B}.Threshold— Add{B}{B}{B}{B}{B}instead if seven or more cards are in your graveyard.,,https://scryfall.com/card/v16/2/cabal-ritual
57,1.0,Changeling Outcast,C,Creature,0.69,0.31,0.55,0.19,0.03,0.19,80261.0,4.7,{B},Changeling(This card is every creature type.)Changeling Outcast can’t block and can’t be blocked.,1/1,https://scryfall.com/card/clb/743/changeling-outcast
58,3.0,Midnight Reaper,R,Creature,0.69,0.31,0.73,0.33,0.02,0.15,80077.0,4.7,{2}{B},"Whenever a nontoken creature you control dies, Midnight Reaper deals 1 damage to you and you draw a card.",3/2,https://scryfall.com/card/moc/257/midnight-reaper
59,5.0,Exquisite Blood,R,Enchantment,14.99,15.98,22.11,12.48,0.02,1.4,79840.0,4.6,{4}{B},"Whenever an opponent loses life, you gain that much life.",,https://scryfall.com/card/lcc/195/exquisite-blood
60,1.0,Phyrexian Reclamation,U,Enchantment,4.99,4.16,5.15,2.57,0.36,0.28,78353.0,4.6,{B},"{1}{B}, Pay 2 life: Return target creature card from your graveyard to your hand.",,https://scryfall.com/card/j22/124/phyrexian-reclamation
61,4.0,Grim Hireling,R,Creature,5.99,5.7,6.63,4.46,6.25,0.47,78144.0,4.5,{3}{B},"Whenever one or more creatures you control deal combat damage to a player, create two Treasure tokens.{B}, Sacrifice X Treasures: Target creature gets -X/-X until end of turn. Activate only as a sorcery.",3/2,https://scryfall.com/card/hbg/158/grim-hireling
62,3.0,Morbid Opportunist,U,Creature,2.29,1.37,2.2,1.76,0.03,0.17,77955.0,4.5,{2}{B},"Whenever one or more other creatures die, draw a card. This ability triggers only once each turn.",1/3,https://scryfall.com/card/dbl/113/morbid-opportunist
63,1.0,Kaya's Ghostform,C,Enchantment,0.99,0.98,1.1,0.53,0.03,0.3,74176.0,4.3,{B},"Enchant creature or planeswalker you controlWhen enchanted permanent dies or is put into exile, return that card to the battlefield under your control.",,https://scryfall.com/card/war/94/kayas-ghostform
64,3.0,Agadeem's Awakening,M,Sorcery,21.99,15.13,,,1.81,0.31,72963.0,4.2,{X}{B}{B}{B},Return from your graveyard to the battlefield any number of target creature cards that each have a different mana value X or less.,,https://scryfall.com/card/znr/90/agadeems-awakening-agadeem-the-undercrypt
65,2.0,Reassembling Skeleton,U,Creature,0.35,0.14,0.18,0.13,0.03,0.16,72807.0,4.2,{1}{B},{1}{B}: Return Reassembling Skeleton from your graveyard to the battlefield tapped.,1/1,https://scryfall.com/card/cmm/183/reassembling-skeleton
66,9.0,In Garruk's Wake,R,Sorcery,1.29,0.88,1.1,0.51,0.02,0.61,72429.0,4.2,{7}{B}{B},Destroy all creatures you don’t control and all planeswalkers you don’t control.,,https://scryfall.com/card/clb/759/in-garruks-wake
67,6.0,Marionette Master,R,Creature,0.99,0.88,1.1,0.41,0.02,0.62,71173.0,4.1,{4}{B}{B},"Fabricate 3(When this creature enters the battlefield, put three +1/+1 counters on it or create three 1/1 colorless Servo artifact creature tokens.)Whenever an artifact you control is put into a graveyard from the battlefield, target opponent loses life equal to Marionette Master’s power.",1/3,https://scryfall.com/card/brc/109/marionette-master
