,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,2.0,Counterspell,C,Instant,0.99,0.77,0.73,0.57,0.02,0.79,712235.0,43.3,{U}{U},Counter target spell.,,https://scryfall.com/card/pf24/1/counterspell
1,2.0,Cyclonic Rift,R,Instant,32.99,27.24,25.79,22.96,0.03,2.43,488815.0,29.7,{1}{U},"Return target nonland permanent you don’t control to its owner’s hand.Overload{6}{U}(You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)",,https://scryfall.com/card/cmm/84/cyclonic-rift
2,3.0,Rhystic Study,R,Enchantment,39.99,31.63,40.54,22.49,0.96,2.29,476470.0,29.0,{2}{U},"Whenever an opponent casts a spell, you may draw a card unless that player pays{1}.",,https://scryfall.com/card/wot/25/rhystic-study
3,1.0,Brainstorm,C,Instant,1.49,1.02,1.1,0.59,0.41,0.24,411027.0,25.0,{U},"Draw three cards, then put two cards from your hand on top of your library in any order.",,https://scryfall.com/card/40k/192/brainstorm
4,2.0,Negate,C,Instant,0.35,0.09,0.11,0.04,0.03,0.4,394535.0,24.0,{1}{U},Counter target noncreature spell.,,https://scryfall.com/card/mom/68/negate
5,2.0,Arcane Denial,C,Instant,3.99,2.8,2.94,1.87,0.01,0.48,314147.0,19.1,{1}{U},Counter target spell. Its controller may draw up to two cards at the beginning of the next turn’s upkeep.You draw a card at the beginning of the next turn’s upkeep.,,https://scryfall.com/card/woc/84/arcane-denial
6,1.0,Mystic Remora,R,Enchantment,5.99,4.73,4.42,4.61,1.91,1.36,300618.0,18.3,{U},"Cumulative upkeep{1}(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)Whenever an opponent casts a noncreature spell, you may draw a card unless that player pays{4}.",,https://scryfall.com/card/dmr/59/mystic-remora
7,1.0,Swan Song,R,Instant,14.99,10.39,14.0,8.12,0.03,0.8,280162.0,17.0,{U},"Counter target enchantment, instant, or sorcery spell. Its controller creates a 2/2 blue Bird creature token with flying.",,https://scryfall.com/card/ltc/197/swan-song
8,3.0,Fierce Guardianship,R,Instant,34.99,28.85,36.85,30.78,4.68,2.22,278819.0,17.0,{2}{U},"If you control a commander, you may cast this spell without paying its mana cost.Counter target noncreature spell.",,https://scryfall.com/card/cmm/94/fierce-guardianship
9,1.0,Mystical Tutor,R,Instant,8.49,6.71,8.84,6.19,0.94,0.9,269284.0,16.4,{U},"Search your library for an instant or sorcery card, reveal it, then shuffle and put that card on top.",,https://scryfall.com/card/dmr/60/mystical-tutor
10,1.0,An Offer You Can't Refuse,U,Instant,4.49,3.18,4.05,2.15,0.02,0.58,261718.0,15.9,{U},"Counter target noncreature spell. Its controller creates two Treasure tokens.(They’re artifacts with “{T}, Sacrifice this artifact: Add one mana of any color.”)",,https://scryfall.com/card/snc/51/an-offer-you-cant-refuse
11,2.0,Mana Drain,M,Instant,54.99,38.94,44.22,37.33,0.84,1.83,258162.0,15.7,{U}{U},"Counter target spell. At the beginning of your next main phase, add an amount of{C}equal to that spell’s mana value.",,https://scryfall.com/card/2x2/57/mana-drain
12,1.0,Ponder,C,Sorcery,2.99,1.47,2.94,1.83,0.03,0.15,246184.0,15.0,{U},"Look at the top three cards of your library, then put them back in any order. You may shuffle.Draw a card.",,https://scryfall.com/card/who/217/ponder
13,3.0,Windfall,U,Sorcery,1.79,2.07,2.2,1.27,0.02,0.86,237800.0,14.5,{2}{U},"Each player discards their hand, then draws cards equal to the greatest number of cards a player discarded this way.",,https://scryfall.com/card/lcc/180/windfall
14,1.0,Preordain,C,Sorcery,2.29,1.02,2.57,1.07,0.8,0.17,212461.0,12.9,{U},"Scry 2, then draw a card.(To scry 2, look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",,https://scryfall.com/card/who/218/preordain
15,1.0,Pongify,U,Instant,5.49,4.24,6.26,2.18,0.03,0.49,202212.0,12.3,{U},Destroy target creature. It can’t be regenerated. Its controller creates a 3/3 green Ape creature token.,,https://scryfall.com/card/tsr/79/pongify
16,3.0,Frantic Search,C,Instant,0.35,0.12,0.11,0.12,0.04,0.26,195348.0,11.9,{2}{U},"Draw two cards, then discard two cards. Untap up to three lands.",,https://scryfall.com/card/woc/93/frantic-search
17,3.0,Propaganda,U,Enchantment,4.99,3.76,4.42,2.53,0.72,1.1,182666.0,11.1,{2}{U},Creatures can’t attack you unless their controller pays{2}for each creature they control that’s attacking you.,,https://scryfall.com/card/who/219/propaganda
18,5.0,Force of Will,M,Instant,69.99,49.39,58.97,13.77,6.49,1.94,182196.0,11.1,{3}{U}{U},You may pay 1 life and exile a blue card from your hand rather than pay this spell’s mana cost.Counter target spell.,,https://scryfall.com/card/dmr/50/force-of-will
19,2.0,Reality Shift,U,Instant,0.49,0.32,0.26,0.27,0.02,0.33,167655.0,10.2,{1}{U},"Exile target creature. Its controller manifests the top card of their library.(That player puts the top card of their library onto the battlefield face down as a 2/2 creature. If it’s a creature card, it can be turned face up any time for its mana cost.)",,https://scryfall.com/card/woc/104/reality-shift
20,1.0,Opt,C,Instant,0.35,0.07,0.11,0.02,0.03,0.12,160184.0,9.7,{U},Scry 1.Draw a card.,,https://scryfall.com/card/woc/101/opt
21,1.0,Rapid Hybridization,U,Instant,2.29,2.0,1.84,1.74,0.02,0.39,155426.0,9.5,{U},Destroy target creature. It can’t be regenerated. That creature’s controller creates a 3/3 green Frog Lizard creature token.,,https://scryfall.com/card/lcc/166/rapid-hybridization
22,3.0,Force of Negation,R,Instant,47.99,39.78,33.9,40.83,27.27,1.8,152796.0,9.3,{1}{U}{U},"If it’s not your turn, you may exile a blue card from your hand rather than pay this spell’s mana cost.Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into its owner’s graveyard.",,https://scryfall.com/card/2x2/50/force-of-negation
23,4.0,Fact or Fiction,U,Instant,0.35,0.09,0.18,0.06,0.03,0.19,147976.0,9.0,{3}{U},Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.,,https://scryfall.com/card/woc/90/fact-or-fiction
24,4.0,Archmage Emeritus,R,Creature,4.99,3.25,5.15,2.91,0.03,0.47,134526.0,8.2,{2}{U}{U},"Magecraft— Whenever you cast or copy an instant or sorcery spell, draw a card.",2/2,https://scryfall.com/card/stx/37/archmage-emeritus
