,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,9.0,Blasphemous Act,R,Sorcery,2.99,1.83,1.1,1.51,0.02,0.63,531845.0,33.3,{8}{R},This spell costs{1}less to cast for each creature on the battlefield.Blasphemous Act deals 13 damage to each creature.,,https://scryfall.com/card/lcc/216/blasphemous-act
1,3.0,Chaos Warp,R,Instant,0.79,0.92,0.73,0.67,0.1,0.43,528865.0,33.1,{2}{R},"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it’s a permanent card, they put it onto the battlefield.",,https://scryfall.com/card/lcc/221/chaos-warp
2,3.0,Jeska's Will,R,Sorcery,29.99,19.87,25.79,17.2,5.21,1.23,288933.0,18.1,{2}{R},"Choose one. If you control a commander as you cast this spell, you may choose both.• Add{R}for each card in target opponent’s hand.• Exile the top three cards of your library. You may play them this turn.",,https://scryfall.com/card/clb/799/jeskas-will
3,1.0,Faithless Looting,C,Sorcery,0.35,0.15,0.11,0.25,0.01,0.15,283858.0,17.8,{R},"Draw two cards, then discard two cards.Flashback{2}{R}(You may cast this card from your graveyard for its flashback cost. Then exile it.)",,https://scryfall.com/card/lcc/225/faithless-looting
4,1.0,Vandalblast,U,Sorcery,2.49,1.81,2.94,1.7,0.02,0.88,279076.0,17.5,{R},"Destroy target artifact you don’t control.Overload{4}{R}(You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)",,https://scryfall.com/card/cmm/267/vandalblast
5,2.0,Dockside Extortionist,M,Creature,79.99,58.29,81.08,52.02,5.76,2.5,278306.0,17.4,{1}{R},"When Dockside Extortionist enters the battlefield, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control.(Treasure tokens are artifacts with “{T}, Sacrifice this artifact: Add one mana of any color.”)",1/2,https://scryfall.com/card/2x2/107/dockside-extortionist
6,3.0,Deflecting Swat,R,Instant,34.99,25.86,33.17,23.0,4.04,1.68,239316.0,15.0,{2}{R},"If you control a commander, you may cast this spell without paying its mana cost.You may choose new targets for target spell or ability.",,https://scryfall.com/card/cmm/214/deflecting-swat
7,2.0,Thrill of Possibility,C,Instant,0.35,0.04,0.11,0.04,0.02,0.08,183533.0,11.5,{1}{R},"As an additional cost to cast this spell, discard a card.Draw two cards.",,https://scryfall.com/card/ltc/229/thrill-of-possibility
8,2.0,Abrade,C,Instant,0.35,0.05,0.11,0.04,0.01,0.18,178252.0,11.2,{1}{R},Choose one —• Abrade deals 3 damage to target creature.• Destroy target artifact.,,https://scryfall.com/card/lci/131/abrade
9,6.0,"Etali, Primal Storm",R,Creature,0.49,0.41,0.55,0.27,0.02,0.91,169141.0,10.6,{4}{R}{R},"Whenever Etali, Primal Storm attacks, exile the top card of each player’s library, then you may cast any number of spells from among those cards without paying their mana costs.",6/6,https://scryfall.com/card/lcc/224/etali-primal-storm
10,1.0,Gamble,R,Sorcery,4.99,4.47,5.15,4.19,0.24,0.46,159604.0,10.0,{R},"Search your library for a card, put that card into your hand, discard a card at random, then shuffle.",,https://scryfall.com/card/dmr/121/gamble
11,1.0,Lightning Bolt,U,Instant,0.79,0.39,0.73,0.89,0.15,0.18,156906.0,9.8,{R},Lightning Bolt deals 3 damage to any target.,,https://scryfall.com/card/30a/157/lightning-bolt
12,4.0,Storm-Kiln Artist,U,Creature,1.29,0.76,0.73,0.58,0.03,0.72,149820.0,9.4,{3}{R},"Storm-Kiln Artist gets +1/+0 for each artifact you control.Magecraft— Whenever you cast or copy an instant or sorcery spell, create a Treasure token.",2/2,https://scryfall.com/card/cmm/260/storm-kiln-artist
13,3.0,Wear // Tear,U,Instant,1.79,0.66,1.84,1.14,,0.18,66976.0,9.2,{1}{R},Destroy target artifact.Fuse(You may cast one or both halves of this card from your hand.),,https://scryfall.com/card/moc/343/wear-tear
14,2.0,Impact Tremors,C,Enchantment,0.35,0.3,0.18,0.27,0.01,0.61,130940.0,8.2,{1}{R},"Whenever a creature enters the battlefield under your control, Impact Tremors deals 1 damage to each opponent.",,https://scryfall.com/card/wot/44/impact-tremors
15,3.0,Valakut Awakening,R,Instant,9.49,5.84,,,0.09,0.17,127110.0,8.0,{2}{R},"Put any number of cards from your hand on the bottom of your library, then draw that many cards plus one.",,https://scryfall.com/card/znr/174/valakut-awakening-valakut-stoneforge
