,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
0,1.0,Swords to Plowshares,U,Instant,1.99,0.85,1.1,0.79,0.02,0.53,938699.0,61.8,{W},Exile target creature. Its controller gains life equal to its power.,,https://scryfall.com/card/lcc/137/swords-to-plowshares
1,1.0,Path to Exile,U,Instant,1.99,0.93,1.1,0.69,0.02,0.46,605104.0,39.8,{W},"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.",,https://scryfall.com/card/lcc/134/path-to-exile
2,4.0,Smothering Tithe,M,Enchantment,19.99,16.75,19.16,13.79,0.06,2.22,398644.0,26.2,{3}{W},"Whenever an opponent draws a card, that player may pay{2}. If the player doesn’t, you create a Treasure token.(It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)",,https://scryfall.com/card/wot/13/smothering-tithe
3,3.0,Generous Gift,U,Instant,0.69,0.3,0.26,0.34,0.02,0.37,394099.0,25.9,{2}{W},Destroy target permanent. Its controller creates a 3/3 green Elephant creature token.,,https://scryfall.com/card/lcc/128/generous-gift
4,1.0,Esper Sentinel,R,Creature,32.99,24.6,33.17,18.65,6.73,1.59,329602.0,21.7,{W},"Whenever an opponent casts their first noncreature spell each turn, draw a card unless that player pays{X}, where X is Esper Sentinel’s power.",1/1,https://scryfall.com/card/j21/75/esper-sentinel
5,3.0,Teferi's Protection,R,Instant,39.99,30.93,25.79,23.38,1.99,1.7,316894.0,20.9,{2}{W},"Until your next turn, your life total can’t change and you gain protection from everything. All permanents you control phase out.(While they’re phased out, they’re treated as though they don’t exist. They phase in before you untap during your untap step.)Exile Teferi’s Protection.",,https://scryfall.com/card/2x2/32/teferis-protection
6,1.0,Enlightened Tutor,R,Instant,17.99,15.33,21.37,8.4,1.99,0.82,280207.0,18.4,{W},"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.",,https://scryfall.com/card/dmr/6/enlightened-tutor
7,6.0,Sun Titan,M,Creature,0.99,0.47,0.73,0.39,0.02,0.36,204800.0,13.5,{4}{W}{W},"VigilanceWhenever Sun Titan enters the battlefield or attacks, you may return target permanent card with mana value 3 or less from your graveyard to the battlefield.",6/6,https://scryfall.com/card/woc/77/sun-titan
8,3.0,Ghostly Prison,U,Enchantment,5.49,2.68,5.52,1.86,0.02,1.07,193913.0,12.8,{2}{W},Creatures can’t attack you unless their controller pays{2}for each creature they control that’s attacking you.,,https://scryfall.com/card/onc/71/ghostly-prison
9,6.0,Austere Command,R,Sorcery,0.49,0.57,0.73,0.42,0.02,0.68,192492.0,12.7,{4}{W}{W},Choose two —• Destroy all artifacts.• Destroy all enchantments.• Destroy all creatures with mana value 3 or less.• Destroy all creatures with mana value 4 or greater.,,https://scryfall.com/card/lcc/126/austere-command
10,6.0,Farewell,R,Sorcery,8.99,7.33,7.0,6.63,2.62,1.61,184758.0,12.2,{4}{W}{W},Choose one or more —• Exile all artifacts.• Exile all creatures.• Exile all enchantments.• Exile all graveyards.,,https://scryfall.com/card/who/207/farewell
11,4.0,Anointed Procession,R,Enchantment,57.99,44.61,51.6,26.48,0.02,0.93,142321.0,9.4,{3}{W},"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.",,https://scryfall.com/card/plist/654/anointed-procession
12,4.0,Akroma's Will,R,Instant,9.99,11.74,11.05,9.5,0.1,1.03,139288.0,9.2,{3}{W},"Choose one. If you control a commander as you cast this spell, you may choose both.• Creatures you control gain flying, vigilance, and double strike until end of turn.• Creatures you control gain lifelink, indestructible, and protection from all colors until end of turn.",,https://scryfall.com/card/lcc/125/akromas-will
13,3.0,"Sisay, Weatherlight Captain",R,Creature,1.29,1.11,1.1,0.88,0.02,0.88,20009.0,8.8,{2}{W},"Sisay, Weatherlight Captain gets +1/+1 for each color among other legendary permanents you control.{W}{U}{B}{R}{G}: Search your library for a legendary permanent card with mana value less than Sisay’s power, put that card onto the battlefield, then shuffle.",2/2,https://scryfall.com/card/h1r/6/sisay-weatherlight-captain
14,4.0,"Shalai, Voice of Plenty",R,Creature,2.29,1.27,2.2,1.3,0.02,0.58,61652.0,8.7,{3}{W},"FlyingYou, planeswalkers you control, and other creatures you control have hexproof.{4}{G}{G}: Put a +1/+1 counter on each creature you control.",3/4,https://scryfall.com/card/woc/74/shalai-voice-of-plenty
15,3.0,Flawless Maneuver,R,Instant,9.49,5.49,8.84,6.8,1.47,0.92,126481.0,8.3,{2}{W},"If you control a commander, you may cast this spell without paying its mana cost.Creatures you control gain indestructible until end of turn.",,https://scryfall.com/card/cmm/24/flawless-maneuver
16,2.0,Grand Abolisher,R,Creature,9.99,7.0,10.31,7.87,0.02,1.52,124773.0,8.2,{W}{W},"During your turn, your opponents can’t cast spells or activate abilities of artifacts, creatures, or enchantments.",2/2,https://scryfall.com/card/cmm/27/grand-abolisher
17,2.0,Drannith Magistrate,R,Creature,21.99,17.02,20.63,13.64,5.37,2.4,124123.0,8.2,{1}{W},Your opponents can’t cast spells from anywhere other than their hands.,1/3,https://scryfall.com/card/iko/11/drannith-magistrate
18,4.0,Wrath of God,R,Sorcery,2.49,1.88,2.57,0.02,0.02,0.49,119833.0,7.9,{2}{W}{W},Destroy all creatures. They can’t be regenerated.,,https://scryfall.com/card/cmm/70/wrath-of-god
19,1.0,Mother of Runes,U,Creature,3.99,2.59,3.68,2.85,0.38,0.69,119175.0,7.8,{W},{T}: Target creature you control gains protection from the color of your choice until end of turn.,1/1,https://scryfall.com/card/clb/702/mother-of-runes
20,3.0,Unbreakable Formation,R,Instant,0.69,0.21,0.55,0.23,0.02,0.28,111215.0,7.3,{2}{W},"Creatures you control gain indestructible until end of turn.Addendum— If you cast this spell during your main phase, put a +1/+1 counter on each of those creatures and they gain vigilance until end of turn.",,https://scryfall.com/card/ltc/179/unbreakable-formation
21,5.0,Cathars' Crusade,R,Enchantment,15.99,9.44,14.0,11.84,0.02,1.02,110609.0,7.3,{3}{W}{W},"Whenever a creature enters the battlefield under your control, put a +1/+1 counter on each creature you control.",,https://scryfall.com/card/jmp/95/cathars-crusade
22,4.0,Felidar Retreat,R,Enchantment,0.99,0.5,0.55,0.55,0.02,0.34,109816.0,7.2,{3}{W},"Landfall— Whenever a land enters the battlefield under your control, choose one —• Create a 2/2 white Cat Beast creature token.• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",,https://scryfall.com/card/cmm/821/felidar-retreat
23,2.0,Knight of the White Orchid,R,Creature,0.79,0.44,0.73,0.42,0.02,0.12,107303.0,7.1,{W}{W},"First strikeWhen Knight of the White Orchid enters the battlefield, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle.",2/2,https://scryfall.com/card/moc/193/knight-of-the-white-orchid
24,7.0,"Elesh Norn, Grand Cenobite",M,Creature,12.99,9.48,13.26,11.08,0.11,1.84,106041.0,7.0,{5}{W}{W},VigilanceOther creatures you control get +2/+2.Creatures your opponents control get -2/-2.,4/7,https://scryfall.com/card/mul/3/elesh-norn-grand-cenobite
25,3.0,Mentor of the Meek,R,Creature,0.49,0.15,0.26,0.17,0.02,0.15,103468.0,6.8,{2}{W},"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay{1}. If you do, draw a card.",2/2,https://scryfall.com/card/ltc/173/mentor-of-the-meek
26,1.0,Silence,R,Instant,8.49,7.08,8.84,5.21,0.02,1.36,102568.0,6.7,{W},Your opponents can’t cast spells this turn.,,https://scryfall.com/card/tsr/302/silence
27,2.0,Darksteel Mutation,U,Enchantment,1.99,0.72,1.47,0.85,0.02,1.1,100520.0,6.6,{1}{W},"Enchant creatureEnchanted creature is an Insect artifact creature with base power and toughness 0/1 and has indestructible, and it loses all other abilities, card types, and creature types.",,https://scryfall.com/card/cmm/21/darksteel-mutation
28,1.0,Land Tax,M,Enchantment,15.99,13.69,16.95,10.99,0.15,0.89,100292.0,6.6,{W},"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle.",,https://scryfall.com/card/wot/9/land-tax
29,3.0,Sevinne's Reclamation,R,Sorcery,0.99,0.59,0.73,0.52,0.88,0.25,99920.0,6.6,{2}{W},"Return target permanent card with mana value 3 or less from your graveyard to the battlefield. If this spell was cast from a graveyard, you may copy this spell and may choose a new target for the copy.Flashback{4}{W}(You may cast this card from your graveyard for its flashback cost. Then exile it.)",,https://scryfall.com/card/cmm/55/sevinnes-reclamation
30,3.0,Idyllic Tutor,R,Sorcery,6.99,5.24,6.63,3.32,0.02,0.52,99622.0,6.6,{2}{W},"Search your library for an enchantment card, reveal it, put it into your hand, then shuffle.",,https://scryfall.com/card/thb/24/idyllic-tutor
31,2.0,Blind Obedience,R,Enchantment,2.29,2.49,2.94,1.53,0.02,1.16,96818.0,6.4,{1}{W},"Extort(Whenever you cast a spell, you may pay{W/B}. If you do, each opponent loses 1 life and you gain that much life.)Artifacts and creatures your opponents control enter the battlefield tapped.",,https://scryfall.com/card/wot/1/blind-obedience
32,2.0,"Sram, Senior Edificer",R,Creature,0.59,0.28,0.55,0.34,0.03,0.38,96793.0,6.4,{1}{W},"Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.",2/2,https://scryfall.com/card/mul/6/sram-senior-edificer
33,3.0,Aven Mindcensor,U,Creature,0.35,0.24,0.26,0.16,0.02,1.31,95477.0,6.3,{2}{W},"FlashFlyingIf an opponent would search a library, that player searches the top four cards of that library instead.",2/1,https://scryfall.com/card/clb/688/aven-mindcensor
34,2.0,Archivist of Oghma,R,Creature,7.49,4.92,8.84,8.1,10.01,0.53,94718.0,6.2,{1}{W},"FlashWhenever an opponent searches their library, you gain 1 life and draw a card.",2/2,https://scryfall.com/card/hbg/83/archivist-of-oghma
35,4.0,Return to Dust,U,Instant,0.35,0.09,0.18,0.06,0.02,0.3,90838.0,6.0,{2}{W}{W},"Exile target artifact or enchantment. If you cast this spell during your main phase, you may exile up to one other target artifact or enchantment.",,https://scryfall.com/card/lcc/136/return-to-dust
36,2.0,Open the Armory,U,Sorcery,1.49,0.93,1.1,0.51,0.03,0.32,90706.0,6.0,{1}{W},"Search your library for an Aura or Equipment card, reveal it, put it into your hand, then shuffle.",,https://scryfall.com/card/cmr/34/open-the-armory
